	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
441	4419	-0.255	0.012	2.734	0.202	0.023
442	4429	-0.254	0.012	2.733	0.206	0.024
443	4439	-0.254	0.012	2.734	0.206	0.025
444	4449	-0.255	0.012	2.734	0.202	0.024
445	4459	-0.254	0.012	2.733	0.204	0.024
446	4469	-0.255	0.012	2.736	0.203	0.024
447	4479	-0.254	0.012	2.733	0.202	0.025
448	4489	-0.255	0.012	2.735	0.201	0.025
449	4499	-0.255	0.012	2.735	0.2	0.025
450	4509	-0.255	0.012	2.735	0.203	0.025
451	4519	-0.255	0.012	2.734	0.201	0.025
452	4529	-0.255	0.012	2.735	0.199	0.024
453	4539	-0.255	0.012	2.735	0.195	0.023
454	4549	-0.255	0.012	2.735	0.201	0.025
455	4559	-0.255	0.012	2.734	0.197	0.025
456	4569	-0.254	0.012	2.729	0.198	0.026
457	4579	-0.255	0.012	2.734	0.198	0.025
458	4589	-0.255	0.012	2.734	0.194	0.025
459	4599	-0.254	0.012	2.732	0.201	0.027
460	4609	-0.255	0.012	2.733	0.192	0.025
461	4619	-0.255	0.012	2.734	0.194	0.025
462	4629	-0.255	0.012	2.733	0.199	0.025
463	4639	-0.255	0.012	2.734	0.194	0.025
464	4649	-0.255	0.012	2.735	0.193	0.025
465	4659	-0.255	0.012	2.734	0.195	0.027
466	4669	-0.255	0.012	2.736	0.19	0.024
467	4679	-0.255	0.012	2.734	0.191	0.025
468	4689	-0.255	0.012	2.735	0.189	0.025
469	4699	-0.255	0.012	2.736	0.188	0.025
470	4709	-0.255	0.012	2.734	0.188	0.025
471	4719	-0.255	0.012	2.734	0.197	0.027
472	4729	-0.255	0.012	2.732	0.187	0.025
473	4739	-0.255	0.012	2.733	0.186	0.024
474	4749	-0.255	0.012	2.735	0.189	0.024
475	4759	-0.255	0.012	2.732	0.181	0.024
476	4769	-0.255	0.012	2.733	0.185	0.026
477	4779	-0.255	0.012	2.736	0.184	0.025
478	4789	-0.255	0.012	2.735	0.185	0.025
479	4799	-0.255	0.012	2.734	0.186	0.025
480	4809	-0.255	0.012	2.734	0.187	0.027
481	4819	-0.255	0.012	2.734	0.182	0.024
482	4829	-0.255	0.012	2.733	0.185	0.024
483	4839	-0.255	0.012	2.73	0.188	0.026
484	4849	-0.256	0.012	2.737	0.182	0.027
485	4859	-0.255	0.012	2.734	0.179	0.025
486	4869	-0.255	0.012	2.734	0.179	0.026
487	4879	-0.255	0.012	2.735	0.18	0.026
488	4889	-0.256	0.012	2.735	0.179	0.026
489	4899	-0.256	0.012	2.736	0.179	0.026
490	4909	-0.255	0.012	2.733	0.178	0.026
491	4919	-0.255	0.012	2.734	0.179	0.024
492	4929	-0.255	0.012	2.735	0.181	0.026
493	4939	-0.255	0.012	2.733	0.178	0.025
494	4949	-0.255	0.012	2.734	0.178	0.026
495	4959	-0.255	0.012	2.732	0.176	0.025
496	4969	-0.255	0.012	2.731	0.173	0.025
497	4979	-0.255	0.012	2.73	0.176	0.025
498	4989	-0.256	0.012	2.733	0.173	0.025
499	4999	-0.255	0.012	2.732	0.172	0.026
